,title,studio,domestic_gross,foreign_gross,year,genre_ids,id,popularity,release_date,vote_average,vote_count
228,Paranormal Activity 2,Par.,84800000.0,92800000,2010.0,"[27, 53]",41436,8.163,2010-10-21,5.7,1342
229,Tom and Jerry Meet Sherlock Holmes,,,,,"[12, 16, 10751, 35]",43956,8.142,2010-08-24,6.6,19
230,Mesrine: Killer Instinct,MBox,552000.0,30500000,2010.0,"[18, 28, 53, 80]",13635,8.131,2010-08-27,7.4,434
231,Mega Shark vs. Crocosaurus,,,,,"[28, 27, 878]",52454,8.129,2010-12-21,2.7,60
232,Metropia,,,,,"[16, 18, 878, 53]",36800,8.113,2010-05-12,6.3,82
233,The Company Men,Wein.,4400000.0,441000,2011.0,[18],44129,8.109,2010-10-21,6.6,349
234,Alpha and Omega,LGF,25100000.0,25400000,2010.0,"[16, 10751, 35, 12, 10749]",12819,8.108,2010-09-17,5.4,227
235,Avalon High,,,,,"[10770, 18, 10751, 14]",50479,8.098,2010-11-12,6.1,313
236,30 Days of Night: Dark Days,,,,,"[27, 53]",42941,8.086,2010-10-05,4.7,218
237,Minions: Orientation Day,,,,,"[16, 35, 10751]",54559,8.053,2010-12-13,6.9,117
238,Planet Hulk,,,,,"[16, 28, 878]",30675,8.053,2010-02-02,6.7,185
239,13,,,,,"[18, 53]",44982,8.007,2010-03-12,5.7,392
240,Survival of the Dead,,,,,"[27, 878]",29426,7.964,2010-05-28,4.8,199
241,The Solitude of Prime Numbers,,,,,[18],53399,7.959,2010-10-10,5.8,218
242,14 Blades,RTWC,,3800000,2014.0,"[18, 28, 53]",34179,7.948,2010-02-04,6.6,87
243,Barbie: A Fashion Fairytale,,,,,"[10751, 16]",44874,7.947,2010-09-14,6.8,228
244,Sharktopus,,,,,"[27, 35, 878, 53, 10770, 28]",46020,7.943,2010-09-25,4.4,69
245,Burning Bright,,,,,"[18, 27, 53]",39957,7.938,2010-08-17,6.0,113
246,Hereafter,WB,32700000.0,72500000,2010.0,"[18, 14]",44603,7.886,2010-10-22,5.9,848
247,All Good Things,Magn.,582000.0,62500,2010.0,"[18, 9648, 53, 80, 10749]",46503,7.871,2010-12-03,6.0,493
248,Defendor,,,,,"[18, 28, 35, 80]",34769,7.863,2010-02-26,6.4,295
249,The Dead,,,,,"[27, 28, 53, 878]",74471,7.841,2010-10-07,5.7,89
250,Day & Night,,,,,"[16, 10751]",40619,7.835,2010-06-17,7.7,438
251,Dabangg,Eros,1300000.0,1700000,2010.0,"[28, 35, 80]",44425,7.831,2010-09-10,6.2,73
252,The Ghost Writer,Sum.,15500000.0,44700000,2010.0,"[53, 9648]",11439,7.829,2010-02-12,6.8,1135
